isin,payment_date,step,metric,p5,p25,p50,p75,p95
XS0222684655,2029-05-15,11,principal,2273699.38626577,2417024.89404937,2567242.09247295,2776339.86242834,3726445.59206826
XS0222684655,2029-05-15,11,balance,73496395.02793689,75106699.2526527,75863395.90382901,77070341.24767622,77666537.05861373
XS0222684655,2029-08-16,12,principal,2195649.72003267,2347589.30923794,2479389.88042446,2669582.8163768,3600398.0191359
XS0222684655,2029-08-16,12,balance,70930467.61860754,72576583.46959557,73322103.03969498,74477273.67577377,75200834.39257298
XS0222684655,2029-11-15,13,principal,2126240.0050407,2259404.15546182,2389328.29304788,2634369.44582383,3496958.88794401
XS0222684655,2029-11-15,13,balance,68486913.24508768,70058392.65103465,70852013.58229414,71977548.94093855,72753898.50253385
XS0222684655,2030-02-15,14,principal,2060579.56471964,2179160.13460843,2300934.5925113,2495278.35832127,3306965.83097712
XS0222684655,2030-02-15,14,balance,66007129.48437119,67659815.54109192,68480986.4241262,69546019.51296318,70373522.49951255
XS0222684655,2030-05-15,15,principal,1980945.75246626,2080466.39337877,2239071.16842115,2430163.79276615,3244182.14930513
XS0222684655,2030-05-15,15,balance,63579517.60245518,65214191.89717875,66206678.49702476,67227661.85143614,68073882.90170364
XS0222684655,2030-08-16,16,principal,1915028.89283567,2055022.33869924,2170440.95641181,2348689.68610621,3162409.07105428
XS0222684655,2030-08-16,16,balance,61342570.91460074,62904178.46135239,63956201.7184927,64939026.21716879,65886253.28076068
XS0222684655,2030-11-15,17,principal,1845114.31336691,1950429.4070339,2076155.66219448,2283551.70818564,3002901.92909689
XS0222684655,2030-11-15,17,balance,59253302.41990159,60741975.62491976,61862182.35729268,62707272.20249866,63769253.57526383
XS0222684655,2031-02-17,18,principal,1781730.48789357,1879575.97797394,2008581.2806417,2178198.86309698,2941352.0168725
XS0222684655,2031-02-17,18,balance,57165990.61184677,58714467.80061269,59758933.31102426,60623615.20253899,61653552.83985201
XS0222684655,2031-05-15,19,principal,1718123.90119013,1849390.9883649,1964306.87110258,2146260.53082178,2825367.87217932
XS0222684655,2031-05-15,19,balance,55147539.76198304,56690227.46059778,57691982.29494072,58542146.29393993,59638609.48695834
XS0222684655,2031-08-18,20,principal,1660550.10901721,1761872.68073743,1885896.65571417,2031867.72283013,2760259.87504142
XS0222684655,2031-08-18,20,balance,53278971.96772122,54738105.70690268,55747278.07569789,56600152.33149936,57698724.36577863
XS0222684655,2031-11-17,21,principal,1607398.30599959,1713939.15821418,1814642.26410105,1978194.6785912,2591725.52269991
XS0222684655,2031-11-17,21,balance,51443344.29018889,52840900.8512688,53845973.90761173,54703988.54098774,55768336.72118746
XS0222684655,2032-02-16,22,principal,1554476.47827234,1644685.28468999,1744022.23175422,1865830.50039467,2502043.30898185
XS0222684655,2032-02-16,22,balance,49667257.95764839,51071200.97950228,52032884.28128158,52871789.93305025,53946644.83173864
XS0222684655,2032-05-17,23,principal,1490643.74364263,1602143.90648849,1700956.61308677,1855569.79171257,2453558.85740597
XS0222684655,2032-05-17,23,balance,47930793.94898335,49294098.14209192,50225721.06086932,51115180.00818336,52167217.55539527
XS0222684655,2032-08-16,24,principal,1445702.2361246,1540942.08414286,1647667.27079797,1781782.84175473,2358293.89753044
XS0222684655,2032-08-16,24,balance,46194564.08519937,47646139.66314274,48543798.70423119,49416418.29474448,50447266.55153996
XS0222684655,2032-11-15,25,principal,1397755.1671051,1485750.23714985,1580129.31808204,1736760.87754837,2245488.54648243
XS0222684655,2032-11-15,25,balance,44597576.5440679,46019186.49514262,46898513.26872388,47783838.66139295,48762205.75540416
XS0222684655,2033-02-15,26,principal,1351293.63750319,1434730.71273612,1523563.41150944,1670429.57852472,2224397.33183751
XS0222684655,2033-02-15,26,balance,43063007.37290777,44442955.03906339,45306887.96725681,46164438.16455829,47141066.90629942
XS0222684655,2033-05-16,27,principal,1296574.51027072,1383589.1892853,1484674.49028422,1619589.1855328,2135807.60814027
XS0222684655,2033-05-16,27,balance,41621385.6609326,42920221.93327204,43766021.65067276,44618747.20625923,45627401.91763121
XS0222684655,2033-08-16,28,principal,1262138.42085885,1348148.5598989,1433128.95474073,1550571.04906852,2056736.99169991
XS0222684655,2033-08-16,28,balance,40246003.7134598,41431152.70120072,42274900.43487389,43124584.80409942,44137842.54079077
XS0222684655,2033-11-15,29,principal,1218618.31795458,1288895.40995999,1369697.05941575,1510187.83120995,1945415.63411559
XS0222684655,2033-11-15,29,balance,38868853.58855773,40058737.99442767,40868232.24775691,41643536.14617737,42669902.66187655
XS0222684655,2034-02-15,30,principal,1179029.50246661,1251811.54708016,1334787.66017051,1447646.09810917,1930356.05716276
XS0222684655,2034-02-15,30,balance,37537975.09591182,38638773.166899,39448320.10783046,40249033.53007,41247703.73662791
XS0222684655,2034-05-15,31,principal,1131568.45049704,1212560.48618172,1290428.23838766,1413105.2955718,1870389.76966683
XS0222684655,2034-05-15,31,balance,36181349.67081198,37320064.96686702,38118478.60880688,38879928.75336432,39835758.57897551
XS0222684655,2034-08-16,32,principal,1093158.69353353,1161689.29826509,1240638.99443722,1344396.63931513,1801696.90521742
XS0222684655,2034-08-16,32,balance,34950661.61495654,36075550.99588481,36826325.29844835,37538768.06021778,38544865.60168265
XS0222684655,2034-11-15,33,principal,1058750.80998358,1133047.18435531,1202642.08720233,1326250.20140123,1733061.43704592
XS0222684655,2034-11-15,33,balance,33733174.05124915,34847550.00410472,35590222.28495161,36283437.33498322,37201768.72312688
XS0222684655,2035-02-15,34,principal,1021248.87512949,1086526.54846992,1159994.61603056,1267156.30013931,1679102.7044404
XS0222684655,2035-02-15,34,balance,32561467.14153042,33657232.57330391,34387907.83111225,35047356.16296495,36037051.81438238
XS0222684655,2035-05-15,35,principal,978478.02262941,1050633.65157509,1126076.20201214,1229967.37866688,1624340.78583464
XS0222684655,2035-05-15,35,balance,31500519.32906178,32505572.87806366,33219445.07429977,33845334.4276228,34797023.02186633
XS0222684655,2035-08-16,36,principal,953061.0904335,1022342.79051283,1093910.48570841,1186458.71981509,1571809.13027691
XS0222684655,2035-08-16,36,balance,30398709.86540305,31373055.29861625,32071834.09663291,32727875.03353134,33665926.99261593
XS0222684655,2035-11-15,37,principal,926083.08319739,980890.27128249,1052361.44694747,1160471.33584939,1510035.13205651
XS0222684655,2035-11-15,37,balance,29338974.8179901,30317877.56740024,30992869.72543094,31615904.69521505,32530676.74182925
XS0222684655,2036-02-15,38,principal,889705.76952094,959288.38652589,1013148.99807207,1095802.37152455,1466393.60919769
XS0222684655,2036-02-15,38,balance,28297856.7246581,29246227.31483843,29944688.29567921,30544787.95732988,31387881.56640786
XS0222684655,2036-05-15,39,principal,853931.37326149,909893.68542332,974924.22351468,1067415.51815192,1415650.44951494
XS0222684655,2036-05-15,39,balance,27242952.59985242,28262014.57085446,28918506.30126055,29522646.04973361,30367752.10495384
XS0222684655,2036-08-18,40,principal,832048.78771061,886976.41310983,948297.44084938,1032297.26914224,1365498.84879676
XS0222684655,2036-08-18,40,balance,26260030.40426694,27314558.70093766,27939289.74804062,28541266.57152583,29381658.53268584
XS0222684655,,0,dm_bp_at_price_ref,55.27786221,55.58650382,55.88830821,56.23040441,56.81569595
