isin,rank,S,S_smooth,C_filing,cpr_cfg_initial,cdr_cfg_initial,seam_level,seam_slope,roughness,terminal,prepay,default,severity,lag_m,advancing,call,trigger,wac,wam_m,index_shift,first_ipd_rate_annual,wal_years,dm_bp_at_ref,last_cf_date,state_mode
XS0260784318,40,0.75022913,0.19081236,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.08003108,0.0,PSA 100,SDA 50,0.5,24,0,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.27391369,59.26985017,2059-07-21,pool
XS0260784318,41,0.75023055,0.19081378,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.08003994,0.0,CPR 0.06,SDA 50,0.2,12,0,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.27294779,59.27496635,2059-07-21,pool
XS0260784318,42,0.75023055,0.19081378,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.08003994,0.0,CPR 0.06,SDA 50,0.2,12,0,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.27294779,59.27496635,2059-07-21,pool
XS0260784318,43,0.75023055,0.19081378,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.08003994,0.0,CPR 0.06,SDA 50,0.35,12,0,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.27297029,59.27488713,2059-07-21,pool
XS0260784318,44,0.75023055,0.19081378,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.08003994,0.0,CPR 0.06,SDA 50,0.35,12,0,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.27297029,59.27488713,2059-07-21,pool
XS0260784318,45,0.75023055,0.19081378,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.08003994,0.0,CPR 0.06,SDA 50,0.5,12,0,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.2729928,59.27480791,2059-07-21,pool
XS0260784318,46,0.75023055,0.19081378,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.08003994,0.0,CPR 0.06,SDA 50,0.5,12,0,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.2729928,59.27480791,2059-07-21,pool
XS0260784318,47,0.75023055,0.19081378,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.08003994,0.0,PSA 100,SDA 50,0.2,12,0,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.27294779,59.27496635,2059-07-21,pool
XS0260784318,48,0.75023055,0.19081378,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.08003994,0.0,PSA 100,SDA 50,0.2,12,0,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.27294779,59.27496635,2059-07-21,pool
XS0260784318,49,0.75023055,0.19081378,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.08003994,0.0,PSA 100,SDA 50,0.35,12,0,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.27297029,59.27488713,2059-07-21,pool
XS0260784318,50,0.75023055,0.19081378,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.08003994,0.0,PSA 100,SDA 50,0.35,12,0,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.27297029,59.27488713,2059-07-21,pool
XS0260784318,51,0.75023055,0.19081378,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.08003994,0.0,PSA 100,SDA 50,0.5,12,0,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.2729928,59.27480791,2059-07-21,pool
XS0260784318,52,0.75023055,0.19081378,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.08003994,0.0,PSA 100,SDA 50,0.5,12,0,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.2729928,59.27480791,2059-07-21,pool
XS0260784318,53,0.75518938,0.19577261,0.55941677,0.06,0.00015,-0.38346739,0.20572144,0.08002535,0.0,CPR 0.06,SDA 50,0.2,6,1,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.272878,59.27594124,2059-07-21,pool
XS0260784318,54,0.75518938,0.19577261,0.55941677,0.06,0.00015,-0.38346739,0.20572144,0.08002535,0.0,CPR 0.06,SDA 50,0.2,6,1,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.272878,59.27594124,2059-07-21,pool
XS0260784318,55,0.75518938,0.19577261,0.55941677,0.06,0.00015,-0.38346739,0.20572144,0.08002535,0.0,CPR 0.06,SDA 50,0.35,6,1,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.27288757,59.27590749,2059-07-21,pool
XS0260784318,56,0.75518938,0.19577261,0.55941677,0.06,0.00015,-0.38346739,0.20572144,0.08002535,0.0,CPR 0.06,SDA 50,0.35,6,1,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.27288757,59.27590749,2059-07-21,pool
XS0260784318,57,0.75518938,0.19577261,0.55941677,0.06,0.00015,-0.38346739,0.20572144,0.08002535,0.0,CPR 0.06,SDA 50,0.5,6,1,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.27289713,59.27587375,2059-07-21,pool
XS0260784318,58,0.75518938,0.19577261,0.55941677,0.06,0.00015,-0.38346739,0.20572144,0.08002535,0.0,CPR 0.06,SDA 50,0.5,6,1,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.27289713,59.27587375,2059-07-21,pool
XS0260784318,59,0.75518938,0.19577261,0.55941677,0.06,0.00015,-0.38346739,0.20572144,0.08002535,0.0,PSA 100,SDA 50,0.2,6,1,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.272878,59.27594124,2059-07-21,pool
XS0260784318,60,0.75518938,0.19577261,0.55941677,0.06,0.00015,-0.38346739,0.20572144,0.08002535,0.0,PSA 100,SDA 50,0.2,6,1,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.272878,59.27594124,2059-07-21,pool
XS0260784318,61,0.75518938,0.19577261,0.55941677,0.06,0.00015,-0.38346739,0.20572144,0.08002535,0.0,PSA 100,SDA 50,0.35,6,1,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.27288757,59.27590749,2059-07-21,pool
XS0260784318,62,0.75518938,0.19577261,0.55941677,0.06,0.00015,-0.38346739,0.20572144,0.08002535,0.0,PSA 100,SDA 50,0.35,6,1,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.27288757,59.27590749,2059-07-21,pool
