isin,rank,S,S_smooth,C_filing,cpr_cfg_initial,cdr_cfg_initial,seam_level,seam_slope,roughness,terminal,prepay,default,severity,lag_m,advancing,call,trigger,wac,wam_m,index_shift,first_ipd_rate_annual,wal_years,dm_bp_at_ref,last_cf_date,state_mode
ES0380957003,42,0.38551963,0.2492645,0.13625512,0.08,0.03,-0.38467445,0.31810056,0.01010487,28.76469174,CPR 0.08,CDR 0.03,0.35,24,0,clean_up,force_sequential,0.0326,240.0,0.0,0.23479525,1.43257123,120.82067432,2028-03-20,pool_sub_implied
ES0380957003,43,0.38551963,0.2492645,0.13625512,0.08,0.03,-0.38467445,0.31810056,0.01010487,28.76469174,CPR 0.08,CDR 0.03,0.35,24,1,clean_up,as_filed,0.0326,240.0,0.0,0.23479525,1.43257123,120.82067432,2028-03-20,pool_sub_implied
ES0380957003,44,0.38551963,0.2492645,0.13625512,0.08,0.03,-0.38467445,0.31810056,0.01010487,28.76469174,CPR 0.08,CDR 0.03,0.35,24,1,clean_up,force_sequential,0.0326,240.0,0.0,0.23479525,1.43257123,120.82067432,2028-03-20,pool_sub_implied
ES0380957003,45,0.38551963,0.2492645,0.13625512,0.08,0.03,-0.38467445,0.31810056,0.01010487,28.76469174,CPR 0.08,CDR 0.03,0.5,24,0,clean_up,as_filed,0.0326,240.0,0.0,0.23479525,1.43257123,120.82067432,2028-03-20,pool_sub_implied
ES0380957003,46,0.38551963,0.2492645,0.13625512,0.08,0.03,-0.38467445,0.31810056,0.01010487,28.76469174,CPR 0.08,CDR 0.03,0.5,24,0,clean_up,force_sequential,0.0326,240.0,0.0,0.23479525,1.43257123,120.82067432,2028-03-20,pool_sub_implied
ES0380957003,47,0.38551963,0.2492645,0.13625512,0.08,0.03,-0.38467445,0.31810056,0.01010487,28.76469174,CPR 0.08,CDR 0.03,0.5,24,1,clean_up,as_filed,0.0326,240.0,0.0,0.23479525,1.43257123,120.82067432,2028-03-20,pool_sub_implied
ES0380957003,48,0.38551963,0.2492645,0.13625512,0.08,0.03,-0.38467445,0.31810056,0.01010487,28.76469174,CPR 0.08,CDR 0.03,0.5,24,1,clean_up,force_sequential,0.0326,240.0,0.0,0.23479525,1.43257123,120.82067432,2028-03-20,pool_sub_implied
ES0380957003,49,0.4007261,0.26447097,0.13625512,0.08,0.02,-0.38122833,0.34500771,0.01027682,28.84294901,CPR 0.08,CDR 0.02,0.2,24,0,call_date,as_filed,0.0326,240.0,0.0,0.23515627,1.27149626,134.03169812,2027-12-20,pool_sub_implied
ES0380957003,50,0.4007261,0.26447097,0.13625512,0.08,0.02,-0.38122833,0.34500771,0.01027682,28.84294901,CPR 0.08,CDR 0.02,0.2,24,0,call_date,force_sequential,0.0326,240.0,0.0,0.23515627,1.27149626,134.03169812,2027-12-20,pool_sub_implied
ES0380957003,51,0.4007261,0.26447097,0.13625512,0.08,0.02,-0.38122833,0.34500771,0.01027682,28.84294901,CPR 0.08,CDR 0.02,0.2,24,1,call_date,as_filed,0.0326,240.0,0.0,0.23515627,1.27149626,134.03169812,2027-12-20,pool_sub_implied
ES0380957003,52,0.4007261,0.26447097,0.13625512,0.08,0.02,-0.38122833,0.34500771,0.01027682,28.84294901,CPR 0.08,CDR 0.02,0.2,24,1,call_date,force_sequential,0.0326,240.0,0.0,0.23515627,1.27149626,134.03169812,2027-12-20,pool_sub_implied
ES0380957003,53,0.4007261,0.26447097,0.13625512,0.08,0.02,-0.38122833,0.34500771,0.01027682,28.84294901,CPR 0.08,CDR 0.02,0.35,24,0,call_date,as_filed,0.0326,240.0,0.0,0.23515627,1.27149626,134.03169812,2027-12-20,pool_sub_implied
ES0380957003,54,0.4007261,0.26447097,0.13625512,0.08,0.02,-0.38122833,0.34500771,0.01027682,28.84294901,CPR 0.08,CDR 0.02,0.35,24,0,call_date,force_sequential,0.0326,240.0,0.0,0.23515627,1.27149626,134.03169812,2027-12-20,pool_sub_implied
ES0380957003,55,0.4007261,0.26447097,0.13625512,0.08,0.02,-0.38122833,0.34500771,0.01027682,28.84294901,CPR 0.08,CDR 0.02,0.35,24,1,call_date,as_filed,0.0326,240.0,0.0,0.23515627,1.27149626,134.03169812,2027-12-20,pool_sub_implied
ES0380957003,56,0.4007261,0.26447097,0.13625512,0.08,0.02,-0.38122833,0.34500771,0.01027682,28.84294901,CPR 0.08,CDR 0.02,0.35,24,1,call_date,force_sequential,0.0326,240.0,0.0,0.23515627,1.27149626,134.03169812,2027-12-20,pool_sub_implied
ES0380957003,57,0.4007261,0.26447097,0.13625512,0.08,0.02,-0.38122833,0.34500771,0.01027682,28.84294901,CPR 0.08,CDR 0.02,0.5,24,0,call_date,as_filed,0.0326,240.0,0.0,0.23515627,1.27149626,134.03169812,2027-12-20,pool_sub_implied
ES0380957003,58,0.4007261,0.26447097,0.13625512,0.08,0.02,-0.38122833,0.34500771,0.01027682,28.84294901,CPR 0.08,CDR 0.02,0.5,24,0,call_date,force_sequential,0.0326,240.0,0.0,0.23515627,1.27149626,134.03169812,2027-12-20,pool_sub_implied
ES0380957003,59,0.4007261,0.26447097,0.13625512,0.08,0.02,-0.38122833,0.34500771,0.01027682,28.84294901,CPR 0.08,CDR 0.02,0.5,24,1,call_date,as_filed,0.0326,240.0,0.0,0.23515627,1.27149626,134.03169812,2027-12-20,pool_sub_implied
ES0380957003,60,0.4007261,0.26447097,0.13625512,0.08,0.02,-0.38122833,0.34500771,0.01027682,28.84294901,CPR 0.08,CDR 0.02,0.5,24,1,call_date,force_sequential,0.0326,240.0,0.0,0.23515627,1.27149626,134.03169812,2027-12-20,pool_sub_implied
